No;Soru;Cevap;Aktif
473;Treatment of diseases by drugs whose effect on the body is the opposite of the disease. ; Allopathic;1
474;The doctor who specialises in the treatment of children’s diseases?;Paediatrician.;1
475;What is piece of paper with official information written on it? ; Document;1
476;What do we call the last game in a sporting competition, which decide the champion?; Finals;1
477;What is a series of events that happen in your mind while you are sleeping? ; Dream;1
478;What do you call the number of people living in a specific area? ; Population;1
479;What is the most important document you would have to show if you wanted to hire a car?; Drivers Licence;1
480;What is a violent conflict between two or more countries? ; War;1
481;What is it called when two or more people are speaking to each other? ; Conversation;1
482;What is a person belongs to an organization called? ; Member;1
483;What piece of equipment shows a person what direction they are traveling? ; Compass;1
484;What piece of equipment would you use for floating on the sea? ; Aquaplane;1
485;What organ controls your speech, feelings, body movement and thoughts? ; Brain;1
486;Who is a person that makes bread, cakes and pastries? ; Baker;1
487;What do we call a picture that a doctor takes to see inside your body?;X-Ray;1
488;What is the name of a system of government in which the people elect their leaders? ; Democracy;1
489;What kind of punishment is less severe, an imprisonment or community service ? ; Community service;1
490;"Where would you most likely go to buy some flour; a bakery, a florist or a supermarket? "; Süpermarket;1
491;In the animal kingdom, the purpose of camouflage to attract a mate, to find food or to hide? ; to hide;1
492;What do we call it when the Moon completely blocks out the light from the Sun? ; Solar Eclipse;1
493;What do you call an apartment that is below ground level? ; Basement apartment;1
494;What word describes moving a program or other material from a website to your computer?; Downloading;1
495;What piece of equipment would you use to go diving in the sea, an aqualung or an aquaplane? ; Aqualung;1
496;A disease or accident which ends in death? ; Fatal;1
497;A person who does not believe in the existence of god. ; Atheist;1
498;Animals that eat flesh. ; Carnivorous;1
499;A tank where fish or water plants are kept. ; Aquarium;1
500;Person who believes in the existence of God ; Theist;1
501;Two children born at same time ? ; Twins;1
502;That which is subject to death ? ; Mortal;1
503;An assembly of listeners;Audience;1
504;A person who is unable to pay his debts ; Insolvent;1
505;A person coming to a foreign land to settle there ; Immigrant;1
506;Building in which dead bodies are kept for a time ; Mortuary;1
507;A person who wishes to throw his establishment ; Anarchist;1
508;Which hospital department would you go to for an x-ray: radiology or cardiology?;Radiology;1
509;Which Animal is not a mammal? Butterfly, cow or Goat? ; Butterfly;1
510;Would you measure the volume of bottle water in litres or Kilos ? ; Litres;1
511;What do you call a system of government in which people vote for the people who will represent them? ; Democracy;1
512;What do you call tax on goods produced and used in a country? ; Excise tax;1
513;Whenever a person goes to an interview, would he be in an enthusiastic mood or sad mood? ; Enthusiastic mood;1
514;A government where the power is concentrated in the hands of one person. ; Autocracy;1
515;A country ruled by two countries. ; Condominium;1
516;Name the device of computer having named same to that of an animal. ; Mouse;1
517;What do you call the document that gives details about your qualification and work experience? ; Curriculum Vitae or Resume;1
518;A long depression in the surface of the land that usually contains a river is called? ; Valley;1
519;Where would you go to see an exhibition of sculpture? ; Art gallery or Museum;1
520;At what ceremony, the students receive their degree or diploma at end of their study? ; Graduation day/Convocation;1
521;If you forget the way what will you buy to find your destination? ; A map;1
522;What’s the joint called where your hand is connected to your arm? ; Wrist;1
523;An instrument for viewing objects at a distance. ; Telescope;1
524;What is the study of stars and planets is called? ; Astronomy;1
525;A person who wishes to throw his establishment. ; Anarchist;1
526;What do we call the alphabetical list, at the end of the book, which tells you where to find specific information? ; Index/Appendix;1
527;Which Animal is not a mammal? Butterfly, cow or Goat? ; Butterfly;1
528;In business and advertising what does PR stand for? ; Public Relations;1
529;Which section of Newspapers gives the editor’s opinion? ; Editorial;1
530;What do we call the piece of paper that proves you have bought the item? ; Receipt;1
531;How would you describe an economy based largely on farming? ; Agricultural or Rural;1
532;How many years are in a decade? ; 10 Years;1
533;A person who is active, lively and enjoys the company of others. ; Extrovert;1
534;What special document do most people carry during international travels? ; Passport;1
535;What is the name of ground military forces? ; Army;1
536;What is someone that can’t see called? ; Blind;1
537;What do you call the middle of something? ; Center;1
538;Whose job is it to treat people that are ill or have an injury at a hospital? ; Doctor;1
539;What is the process of teaching and learning called? ; Education;1
540;What kind of book is written by a person about their own life? ; Autobiography;1
541;What is the red liquid that flows through a body? ; Blood;1
542;What is the payment of a student’s education by an organization called? ; Scholarship;1
543;"Simplest and smallest form of plant life, present in air, water and soil; essential to life but may cause disease? "; Bacteria;1
544;Literary theft or passing off an author’s original work as one’s own;Plagiarism;1
545;One who attends to sick people and prescribe medicines ; Physician;1
546;Anything written in a letter after it is signed? ; Postscript;1
547;What is a violent conflict between two or more countries? ; War;1
548;A list of books representing some scholarly work for reference ; Bibliography;1
549;The art of cultivating and managing gardens ; Horticulture;1
550;An event that occurs suddenly causing a great damage or suffering;Catastrophe;1
551;The property which a new wife brings to her husband ; Dowry;1
552;What are the people that plant food, raise crop are commonly known as? ; Farmers;1
553;A place where people may obtain food and refreshment ; Restaurant;1
554;If a button has come off a shirt, what would someone most likely use to put it back on? ; A needle and thread;1
555;Where do you pay for your purchases at the super market? ; (at) checkout;1
556;On what geographical location would someone be living if their country is surrounded by water on all side? ; An island;1
557;A nursery where children are cared for while their parents are at work ; Creche;1
558;The person in-charge of library;Librarian;1
559;What is it called when two or more people are speaking to each other? ; Conversation;1
560;A list of headings of the business to be tracted at a meeting ; Agenda;1
561;What appliance do people use to keep their food cool and preventing from spoiling? ; Fridge;1
562;One who pl and draws the design of buildings and superintends their erection ; Architect;1
563;The chemical breakdown of a substance by yeasts or some bacteria, etc ; Fermentation;1
564;Extreme fear from strangers ; Xenophobia;1
565;One who studies the past through obj ects left behind ;Archaeologist;1
566;T o crossover from one side of the wide river to another without using boat, what is usually required? ; A bridge;1
567;A fishes where fishes are kept ; Aquarium;1
568;What general part of the day is known as dawn? ; A sunrise;1
569;What is a painting of a person’s head is called? ; A portrait;1
570;Where do we find urban area in a city or country side? ; In a city;1
571;What we call it, when moon completely blocks out the light from the sun? ; A solar eclipse / an eclipse;1
572;What point of the compass is directly opposite east? ; West;1
573;Who cuts men’s hair? ; Barber;1
574;What plan shows how much money is available and how it will be spent? ; Budget;1
575;A plant or animal growing on another ; Parasite;1
576;What is the name of ground military forces? ; Army;1
577;What is someone that can’t see called? ; Blind;1
578;What do you call the middle of something? ; Centre;1
579;Whose job is it to treat people that are ill or have an injury at a hospital? ; Doctor;1
580;What is the process of teaching and learning called? ; Education;1
581;What kind of book is written by a person about their own life? ; Autobiography;1
582;What is the red liquid that flows through a body? ; Blood;1
583;What is the payment of a student’s education by an organization called? ; scholarship;1
584;What is piece of paper with official information written on it? ; document;1
585;What is the name of a building where you can borrow books? ; library;1
586;Who is a person that makes bread, cakes and pastries? ; baker;1
587;What organ controls your speech, feelings, body movement and thoughts? ; brain;1
588;What piece of equipment shows a person what direction they are traveling? ; compass;1
589;What is a series of events that happen in your mind while you are sleeping? ; dream;1
590;What is a person belongs to an organization called? ; Member;1
591;Who cuts men’s hair? ; barber;1
592;What is it called when two or more people are speaking to each other? ; Conversation;1
593;What is a violent conflict between two or more countries? ; war;1
594;What do you call the number of people living in a specific area? ; population;1
595;What do you call a person that can’t hear? ; deaf;1
596;What is the day that someone is born? ; birthday;1
597;What plan shows how much money is available and how it will be spent? ; budget;1
598;What is the name of a system of government in which the people elect their leaders? ; Democracy;1
599;What planet do we live on? ; earth;1
600;What is the job of someone that looks after your teeth and gums? ; dentist;1
601;What is the time period before noon is called? ; ante meridian;1
602;What is the time after noon called? ; Post meridian;1
603;What organ do cardiologists specialize in? ; Heart;1
604;What is a painting of a person’s head is called? ; a portrait;1
605;Where do we find urban area in a city or country side? ; In a city;1
606;What we call it, when moon completely blocks out the light from the sun? ; a solar eclipse / an eclipse;1
607;What point of the compass is directly opposite east? ; West;1
608;Where do you pay for your purchases at the super market? ; (at the) till / checkout;1
609;What do you call an apartment that is beyond ground level (a basement apartment or a penthouse apartment)? ; a basement apartment;1
610;What features do pianos and computers have in common? ; a keyboard;1
611;If you are feeling ‘fed up’ it is positive or negative feeling? ; a negative feeling;1
612;What we call a period of ten years? ; a decade;1
613;A specialist who repairs leaking water pipes is called a ? ;Plumber;1
614;A famous canal links the Mediterian Sea with the Indian Ocean, is it the Curran or Suez Canal? ; The Suez Canal;1
615;Where would you keep the meat you wish to keep frozen at home?;in a freezer;1
616;What is the most imp doc you would have to show if you would to hire a car? ; a driving license;1
617;Where would you go to work out on a trade mill? ; a gym / gymnasium;1
618;What piece of equipment would you use to go diving in a see, an aquaplane or an aqualung? ; An aqualung;1
619;Where would you most likely go to buy some flowers (a bakery, a florist or a super market)? ; a supermarket;1
620;Which hospital dept. you go for x-ray (radiology or cardio); a radiology;1
621;Where would you go to see an exhibition of sculptures? ; To an art gallery / to a museum;1
622;Would you measure volume of water in litres or kilos? ; Litres;1
623;What’s the joint called where your hand is connected to your arm?;The (or your) wrist;1
624;What organ do cardiologists specialize in? ; (the) heart / hearts;1
625;If telescopes are used to locate distant objects, what instrument is employed to magnify miniscule objects? ; (electron) microscope / microscopes;1
626;Which kind of punishment for a erime is the less severe, an imprisonment or community service? ; Community service;1
627;How many sides are there in a bilateral agreement? ; Two;1
628;Which is the longest: a decade, a millennium or a century?;A millennium;1
629;A manufacturing process releases noxious gases. What is the most important safety measure for workers at this plant – ensuring good ventilation, or appropriate footwear?; (ensuring good) ventilation;1
630;A list of events placed in time order is usually described as what? ; A chronology / a timeline;1
631;If a figure is hexagonal, how many sides does it have? ; Six;1
632;What key mineral makes sea water different from fresh water? ; Salt;1
633;In the animal kingdom, is the purpose of camouflage to attract a mate, to find food or to hide? ; (it’s) (the purpose is) (to) hide;1
634;Which section of newspaper gives the editor an opinion? ; Editorial;1
635;What instrument used to examine very small thing ; microscope;1
636;What is the destructive program that spread from comp to comp ; a virus;1
637;What term used for animals that give birth to ; mammals;1
638;System of Govt. where people vote for people ; democracy;1
639;Piece of paper that you bought an item ; a receipt;1
640;What you call the document that tells your qualification and work exp? ; CV, curriculum vitae, resumes;1
641;How would you describe economy largely based on farming? ; Agricultural, rural;1
642;What is the study of stars and planet called? ; Astronomy;1
643;In business and adv. what is PR stand for? ; Public relations;1
644;What emergency service called at sea? ; Coastguard;1
645;Name a month fall bet April and June? ; May;1
646;What word describe moving a website from internet to your comp ; downloading / download;1
647;What is called a picture doctor take to see inside body? ; An X-Ray;1
648;What crime has someone stealing from shop committed? ; shoplifting;1
649;If someone feeling ill they will say ‘they are feeling under the ___’ what? –;Weather;1
650;Who is person in-charge of a football match?; The referee;1
651;Last game in sporting competition that decide champ? ; The final;1
652;What is the general term for painting at country side or natural view? ; Landscape;1
653;Found in office (a printer and other two options)? ; A printer;1
654;"There are two types of sporting contests: one is amateur; and other is ?";Professional;1
655;Where would you find the whale (tropical forest, ocean)? ; Ocean;1
656;Coat had a stain on it where would they take? ; A dry cleaner’s;1
657;What are the things that ‘hens lay’ called? ; Eggs;1
658;The people who use to obey the rules and protect the public from criminals are called? ; The police;1
659;On what geographical location would someone be living if their country is surrounded by water on all side? ; An island;1
660;What general part of the day is known as dawn?;A sunrise (Part of the Day: “Dawn–Twilight–Sunrise, Morning, Daylight / middayafternoon, Evening, Sunset–Twilight–Dusk, Night”);1
661;What are the people that plant food, raise crop are commonly known as? ; Farmers;1
662;If a button has come off a shirt, what would someone most likely use to put it back on? ; A needle and thread;1
663;What appliance do people use to keep their food cool and preventing from spoiling? ; Fridge;1
664;T o crossover from one side of the wide river to another without using boat, what is usually required? ; A bridge;1
665;Which drink has caffeine alongside tea and hot chocolate? ;Coffee;1
666;What is the strings on shoes? ;Shoelace;1
667;Which one is not a mythological animal? Unicorn, giraffe, dragon or mermaid?;Giraffe;1
668;Properties inherited from one’s father; patrimony;1
669;One who loves his/ her country?; Patriot;1
670;Payment made in consideration of past service ; pension;1
671;Study of stamp collection; philately;1
672;The study of ancient societies; archeology;1
673;Medical examination of a dead body;postmortem;1
674;A short message added on to the end of a letter after the signature; postscript;1
675;Water fit for drinking;potable;1
676;An animal that preys on other animals;predator;1
677;To form an opinion against anybody baselessly; prejudice;1
678;The practice of having many wives; polygamy;1
679;One who know many languages ; polyglot;1
680;A government by the rich ; plutocracy;1
681;One who copies from other writers? ; plagiarist;1
682;The study of the body; physiology;1
683;One who leads others; pioneer;1
684;A thing that is fit to be eaten; edible;1
685;An exact copy ; facsimile;1
686;Anything that leads to death ; fatal;1
687;A person who eats too much; glutton;1
688;Likely to break apart easily ; brittle;1
689;One who does not make mistakes ; infallible;1
690;One who goes on foot ; pedestrian;1
691;The science which treats with life ; biology;1
692;What are the words called which have the same meaning; synonym;1
693;A person living at the same time as another ; contemporary;1
694;Through which light cannot pass ; opaque;1
695;An instrument for viewing object at a distance ; telescope;1
696;Cure of all diseases ; panacea;1
697;Custom of many husbands ; polygamy;1
698;What is fear of water called; hydrophobia;1
699;A woman whose husband is dead ; widow;1
700;That which is against law ; illegal;1
701;Things of same nature ; homogenous;1
702;A list of names of. Books ; catalog;1
703;A pleasant song used for causing children to sleep ; lullaby;1
704;A school for small children ; Kindergarten;1
705;A coworker in the same institution is a colleague or a peer ; colleague;1
706;An assembly of hearers at a conference or concert ; audience;1
707;A shed for motor cars ; garage;1
708;A medicine that prevents infection by killing germs ; antiseptic;1
709;Who invented computer ; Charles Babbage;1
710;who is the main founder of Facebook ; Mark Zuckerberg;1
711;In which century was the computer invented ; 19th century;1
712;Who invented zero ; Arya Bhatt;1
713;Number 13 is unlucky in which religion; Christian;1
